mood,tempo,genre,artist_type,durationSeg,top
5,1,7,0,363.0,0
18,1,8,0,232.0,0
21,0,4,0,253.0,0
5,1,7,0,272.0,0
2,1,4,0,268.0,0
21,0,4,1,253.0,0
2,1,8,0,322.0,0
2,1,8,0,238.0,0
4,1,3,0,253.0,0
5,1,4,1,196.0,1
22,1,4,0,227.0,0
3,1,1,0,214.0,0
3,1,0,0,2040.0,0
5,1,7,0,186.0,0
22,1,4,1,0.0,0
17,2,7,0,251.0,0
16,1,4,1,225.0,0
11,1,7,0,286.0,0
16,1,8,0,286.0,0
6,1,1,0,213.0,0
5,1,7,0,233.0,0
22,1,0,0,187.0,1
6,1,1,1,211.0,0
22,1,7,1,236.0,0
11,2,4,0,295.0,0
2,1,8,2,266.0,0
6,1,4,0,358.0,1
5,1,7,0,72.0,0
7,1,7,1,140.0,0
2,1,8,0,343.0,0
7,1,4,1,165.0,1
7,0,8,0,317.0,0
3,1,8,2,310.0,1
7,1,4,2,210.0,0
5,2,4,1,232.0,0
22,1,7,0,241.0,0
16,2,8,1,226.0,0
7,1,4,2,241.0,0
16,1,8,0,241.0,0
1,1,0,0,239.0,0
21,1,7,1,207.0,0
6,1,0,2,182.0,1
5,1,4,0,203.0,0
3,1,0,0,264.0,0
5,1,7,0,206.0,0
2,1,8,2,165.0,0
5,1,7,2,202.0,0
2,1,8,2,227.0,0
2,1,8,0,277.0,0
22,1,8,2,199.0,0
5,1,4,0,267.0,0
5,1,4,1,230.0,0
2,1,4,0,370.0,1
21,1,4,1,317.0,1
6,1,8,0,250.0,0
5,2,4,0,209.0,0
2,1,8,0,0.0,0
14,1,7,0,327.0,0
7,1,4,2,222.0,1
7,1,4,2,230.0,0
6,1,8,0,0.0,0
6,1,4,0,219.0,0
3,1,4,0,237.0,0
2,1,8,2,200.0,1
21,0,8,1,234.0,1
3,1,4,0,290.0,0
7,0,4,2,189.0,0
3,1,8,0,315.0,0
5,2,4,0,235.0,1
6,1,8,1,2836.0,0
2,1,8,0,288.0,0
15,0,3,0,276.0,0
7,0,4,2,232.0,1
7,1,8,2,236.0,1
5,1,4,0,241.0,0
21,1,8,1,252.0,1
2,1,8,0,245.0,1
9,1,7,0,283.0,0
16,1,8,0,242.0,0
5,1,8,0,217.0,0
16,1,8,0,195.0,0
5,1,7,0,171.0,0
2,1,8,2,202.0,1
7,0,4,1,230.0,0
4,1,8,0,0.0,0
8,1,2,0,232.0,0
15,1,4,0,262.0,1
19,1,8,0,171.0,0
5,1,7,2,245.0,0
7,0,8,0,266.0,0
5,1,7,0,215.0,0
9,1,8,0,257.0,1
16,1,8,0,189.0,0
3,1,8,0,84.0,0
6,1,8,1,251.0,1
16,1,8,1,209.0,0
3,1,0,0,275.0,0
6,0,1,0,256.0,0
6,1,3,0,272.0,0
5,1,4,0,280.0,0
7,1,4,1,252.0,1
22,1,0,2,496.0,0
7,1,4,1,211.0,0
5,1,7,0,239.0,0
1,1,4,0,823.0,0
18,2,4,0,0.0,0
6,1,8,0,0.0,0
7,1,1,0,222.0,0
3,1,0,0,326.0,0
5,2,7,1,0.0,0
15,1,7,0,220.0,0
16,1,8,0,238.0,1
7,1,4,1,82.0,0
17,2,4,2,217.0,0
22,1,0,2,2836.0,0
18,2,4,2,3985.0,0
3,1,8,0,225.0,1
2,1,8,0,211.0,0
8,1,0,0,268.0,0
3,1,8,0,214.0,0
6,1,4,0,296.0,0
16,2,8,2,205.0,1
22,1,7,0,218.0,0
16,1,8,0,214.0,0
2,1,8,0,117.0,0
0,0,4,0,247.0,0
2,1,1,1,232.0,0
18,1,8,0,250.0,0
16,2,4,2,201.0,0
2,1,7,0,178.0,0
3,1,5,0,211.0,0
2,1,4,0,0.0,0
21,1,5,0,110.0,0
2,1,8,0,357.0,0
16,1,0,0,225.0,1
5,1,7,0,194.0,0
22,1,5,0,228.0,0
22,1,0,0,237.0,0
2,1,8,2,321.0,0
22,1,7,0,228.0,0
2,1,8,1,242.0,0
15,1,0,2,273.0,0
3,1,8,0,248.0,0
7,0,1,1,211.0,0
16,2,8,1,300.0,1
14,1,3,2,278.0,0
3,1,0,0,183.0,0
16,1,8,0,300.0,0
7,0,4,1,211.0,0
5,1,5,0,241.0,0
2,2,8,0,178.0,0
4,1,8,0,304.0,0
6,1,4,1,251.0,0
5,2,1,1,180.0,0
21,0,4,0,190.0,1
7,1,4,1,2591.0,1
6,1,8,0,207.0,1
3,1,8,1,234.0,0
2,1,8,0,253.0,0
7,0,4,2,196.0,1
6,1,8,2,224.0,1
5,1,4,1,482.0,0
9,1,4,2,223.0,1
5,1,4,2,274.0,0
20,0,7,0,250.0,0
2,1,8,0,212.0,0
16,2,0,0,163.0,0
2,1,4,1,173.0,0
22,1,7,0,215.0,0
6,0,8,0,221.0,0
2,1,8,0,115.0,1
6,1,8,0,232.0,0
3,1,0,1,298.0,0
5,1,4,1,326.0,0
22,1,8,1,216.0,0
2,1,8,0,105.0,1
11,2,4,0,274.0,0
13,2,4,0,279.0,0
15,1,8,0,194.0,0
21,1,7,2,278.0,0
5,1,7,0,224.0,0
2,1,8,0,253.0,0
22,1,7,2,270.0,0
11,2,8,0,251.0,0
3,1,4,0,44.0,0
18,2,1,1,209.0,0
2,1,0,0,192.0,0
2,1,8,2,280.0,0
9,1,7,2,226.0,0
2,1,8,0,243.0,0
20,1,7,0,184.0,0
5,1,7,0,191.0,0
16,1,0,0,212.0,0
2,1,8,0,272.0,1
2,1,4,0,209.0,1
10,1,6,1,239.0,0
22,1,7,0,308.0,0
1,1,1,0,198.0,0
2,1,8,0,166.0,1
21,1,4,1,151.0,1
18,2,3,0,230.0,0
7,1,4,2,153.0,0
6,1,4,1,107.0,1
1,1,5,0,273.0,0
15,1,8,2,237.0,1
20,0,7,0,19.0,0
3,1,8,0,0.0,0
7,1,4,1,306.0,0
16,1,2,0,329.0,0
7,1,4,1,286.0,1
5,1,4,1,252.0,1
6,0,8,2,244.0,1
2,1,8,0,271.0,0
3,1,0,0,343.0,0
3,1,8,0,239.0,0
3,1,8,0,202.0,0
5,1,7,0,191.0,0
